#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
##################################################;;;;;;;;;;;;;;x
# Decisions ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
#EGY;;;;;;;;;;;;;;x
dec_EGY_the_suez_question_title;The Suez Question;;;;;;;;;;;;;x
dec_EGY_the_suez_question_desc;The Anglo-Egyptian Treaty of 1936 allows Britain to operate the strategically vital Suez Canal and to station troops in our country to defend it. Because of the Middle East’s vast oil wealth, the Canal is vital to the strategic interests of Britain and the West in general. Furthermore, as part of its post-WWII redistribution of power among its former colonial possessions, Britain has chosen to deepen its involvement in our country even as it gives up power in other parts of the world. In post-WWII Egypt characterized by economic hardship and inflation, anti-British sentiment is running increasingly high among the Egyptian public. With the British not budging in their position, popular anger could easily turn towards violence against the British presence in Egypt – and that might not be a bad thing for us.;;;;;;;;;;;;;x
dec_EGY_seize_suez_canal_title;Seize the Suez Canal;;;;;;;;;;;;;x
dec_EGY_seize_suez_canal_desc;Tensions between us and the West have finally come to a head, forcing us to seize the Suez Canal from the exploitative Western imperialists. Our troops have received the #CODEword to occupy the canal and have moved to take over its operations. We have also closed the canal to all Israeli traffic as part of our overall policy to win the leadership of the Arab world for ourselves. We do not expect the Western powers, in retreat from the former colonial possessions, to do much about this. Control of the canal can only benefit Egypt!;;;;;;;;;;;;;x
dec_EGY_first_appeal_to_UN_title;First Appeal to the UN!;;;;;;;;;;;;;x
dec_EGY_first_appeal_to_UN_desc;The war is going very poorly for us. We have been driven back across the entire Sinai Peninsula by our enemies and our military is in shambles. Because of the dire situation, we have appealed to the United Nations to end the war with UN Resolution 997. The resolution has been put to a vote before the General Assembly, and now all we can do is cross our fingers and hope for peace.;;;;;;;;;;;;;x
#ENG;;;;;;;;;;;;;;x
dec_EGY_suez_relations_title;Egyptian Relations – Suez Canal Company;;;;;;;;;;;;;x
dec_EGY_suez_relations_desc;The situation in Egypt after its authoritarian coup has deteriorated British relations and the security of British investments in the country. Furthermore, the instability threatens to engulf the region in a second war focused on the Israeli issue with the potential to ignite war between the superpowers. Our use of military force, as we have done in the past, is therefore discouraged in favor of exercising soft power and striking a deal with the Egyptians. We must tread carefully in the weeks ahead to attempt to diffuse the situation in a manner favorable to British interests as well as those of her allies.;;;;;;;;;;;;;x
dec_EGY_sudan_relations_title;Egyptian Relations – The Sudanese Question;;;;;;;;;;;;;x
dec_EGY_sudan_relations_desc;In order to build more rapport with Egypt, we can use our colonial possession of Sudan as a bargaining chip in negotiations with the Egyptian government. Egypt has coveted the territory of Sudan for thousands of years, and our presence there is a thumb in the eye of the newly muscular Egyptian regime. Currently, although we possess Sudan, Egypt claims parts of the Nile river valley as its own rightful territory and uses these claims to fan public anger toward us and our interests in the region. Bargaining with Egypt regarding its claims to Sudan vis-a-vis our own may be a productive strategy for rebuilding our relationship with the Egyptian government.;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Events ; REMOVE HASH FOR ACTIVE EVENTS AND OPTIONS;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
USA;;;;;;;;;;;;;;x
EVTNAME354030;The Tripartite Agreement;;;;;;;;;;;;;x
