#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
##################################################;;;;;;;;;;;;;;x
# Country Modifiers ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
## IRQ ##;;;;;;;;;;;;;;x
Syrian_oilpipeline;Syrian Oil Pipeline Closed;;;;;;;;;;;;;x
KWT_Iraq_money;Financial Support from Kuwait;;;;;;;;;;;;;x
Sau_Iraq_money;Financial Support from Saudi Arabia;;;;;;;;;;;;;x
USA_Iraq_support;Military Support from the USA;;;;;;;;;;;;;x
FRA_Iraq_support;Military Support from France;;;;;;;;;;;;;x
SOV_Iraq_support;Military Support from the USSR;;;;;;;;;;;;;x
GER_Iraq_support;Military Support from West Germany;;;;;;;;;;;;;x
Iraq_Totalwar;Iran-Iraq Total War;;;;;;;;;;;;;x
Iraqi_rally;Iraqi Religious Rally;;;;;;;;;;;;;x
Iraq_militaryCrisis;Military Crisis;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
## PER ##;;;;;;;;;;;;;;x
revolutionary_disarry;Revolutionary Disarray;;;;;;;;;;;;;x
airforce_topguns;Airforce Top Guns;;;;;;;;;;;;;x
Iran_fights;Iran Fights On;;;;;;;;;;;;;x
fight_kurds;Kurd Revolt Suppression;;;;;;;;;;;;;x
ignore_kurds;Kurd Revolt Ignored;;;;;;;;;;;;;x
placate_kurds;Kurd Revolt Placation;;;;;;;;;;;;;x
China_Iran_support;Military Support from Communist China;;;;;;;;;;;;;x
Tanker_losses;Tanker Losses;;;;;;;;;;;;;x
Fatwa_on_Iraq;Fatwa on Iraq;;;;;;;;;;;;;x
Iranian_crisis;Political Crisis;;;;;;;;;;;;;x
Iran_Airforce_purge;Airforce Purge;;;;;;;;;;;;;x
Iran_militaryCrisis;Military Crisis;;;;;;;;;;;;;x
Iran_militaryCrisis_II;Military Crisis;;;;;;;;;;;;;x
Iran_Navy_losses;Iran-Iraq War Naval Losses;;;;;;;;;;;;;x
Iran_oilrig_losses;Iran-Iraq War Oilrig Losses;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
## KWT ##;;;;;;;;;;;;;;x
KWT_Iraq_cost;Financial Support to Iraq;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
## SAU ##;;;;;;;;;;;;;;x
Sau_Iraq_cost;Financial Support to Iraq;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
## USA ##;;;;;;;;;;;;;;x
USA_Iraq_cost;Military Support to Iraq;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
## FRA ##;;;;;;;;;;;;;;x
FRA_Iraq_cost;Military Support to Iraq;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
## SOV ##;;;;;;;;;;;;;;x
SOV_Iraq_cost;Military Support to Iraq;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
## FRG ##;;;;;;;;;;;;;;x
GER_Iraq_cost;Military Support to Iraq;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
## CHC ##;;;;;;;;;;;;;;x
China_Iran_cost;Military Support to Iran;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Decisions ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
## IRQ ##;;;;;;;;;;;;;;x
dec_IRQ_Iraq_declares_war_on_Iran_title;Invade Iran!;;;;;;;;;;;;;x
dec_IRQ_Iraq_declares_war_on_Iran_desc;The Iraqi military has been resupplied and reequipped and may well be in a position to attack. At the very least Iraq should be able to regain the lands taken via the Algiers Agreement a number of years ago. Strike now and strike hard!;;;;;;;;;;;;;x
dec_IRQ_Iraq_ceasefire_prop_title;Propose a ceasefire with Iran;;;;;;;;;;;;;x
dec_IRQ_Iraq_ceasefire_prop_desc;Having gained control of the disputed provinces, Iraq considered cutting its loses and asking for a ceasefire.;;;;;;;;;;;;;x
dec_IRQ_Iraq_total_war_title;Take Total War measures.;;;;;;;;;;;;;x
dec_IRQ_Iraq_total_war_desc;Saddam commenced a policy of total war, gearing most of his country towards defending against Iran.  Iraq was spending 40–75% of their GDP on military equipment. Saddam had also more than doubled the size of the Iraqi army, from 200,000 soldiers (12 divisions and 3 independent brigades) to 500,000.;;;;;;;;;;;;;x
dec_IRQ_Iraq_tanker_war_title;Attack Iranian Shipping;;;;;;;;;;;;;x
dec_IRQ_Iraq_tanker_war_desc;Iraq used their now expanded air force to carry out strategic bombing against Iranian shipping, economic targets, and cities in order to damage Iran's economy and morale. Iraq also wanted to provoke Iran into doing something that would cause the superpowers to be directly involved in the conflict on the Iraqi side.;;;;;;;;;;;;;x
dec_IRQ_Iraq_rally_title;Rally war effort;;;;;;;;;;;;;x
dec_IRQ_Iraq_rally_desc;The Iranian Fatwa combined with loss of Iraqi territory prompted a rallying of Iraqi fighting spirit. Volunteers surged to the armed forces, including many foreign fighters. Iraq also was able to rebuild its military hardware and expand the military significantly.;;;;;;;;;;;;;x
dec_IRQ_Iraq_warend_title;End the Iran-Iraq War;;;;;;;;;;;;;x
dec_IRQ_Iraq_warend_desc;UN Resolution 598 combined with international pressure forced the Iraqis to agree to a ceasefire.;;;;;;;;;;;;;x
;;;;;;;;;;;;;x
## PER ##;;;;;;;;;;;;;;x
